"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Installed,Installed
"Not Installed","Not Installed"
"Allow Pre-Orders","Allow Pre-Orders"
"Pre-Order Note","Pre-Order Note"
"Pre-Order Cart Button","Pre-Order Cart Button"
"Pre Order","Pre Order"
Information,Information
"Functional Options","Functional Options"
"Enable Pre Orders","Enable Pre Orders"
"Affects new orders with products set to be pre-ordered.","Affects new orders with products set to be pre-ordered."
"Please note! Products on ""Pre Order"" must be set to ""In Stock""","Please note! Products on ""Pre Order"" must be set to ""In Stock"""
"Allow Pre Orders For Products With Zero Quantity","Allow Pre Orders For Products With Zero Quantity"
"If set to ""No"", it is possible to pre order products that have quantity set to 1 or higher only. This way you can limit number of products available for pre order.","If set to ""No"", it is possible to pre order products that have quantity set to 1 or higher only. This way you can limit number of products available for pre order."
"Disable Pre Order For Items With Positive Qty","Disable Pre Order For Items With Positive Qty"
"If set to ""Yes"", pre orders will take effect only for products with quantity 0 or lower.","If set to ""Yes"", pre orders will take effect only for products with quantity 0 or lower."
"Display Options","Display Options"
"Add To Cart Button Text","Add To Cart Button Text"
"Text to display on the button instead of 'Add To Cart'","Text to display on the button instead of 'Add To Cart'"
"Default Pre-Order Note","Default Pre-Order Note"
"You can use product attributes like {sku} or {delivery_time}","You can use product attributes like {sku} or {delivery_time}"
"Pre-Order Note Output Place","Pre-Order Note Output Place"
"Specify the selector to display the Pre-Order Note in. It replaces .stock if empty.","Specify the selector to display the Pre-Order Note in. It replaces .stock if empty."
"Show Pre-Order Note on Category Pages","Show Pre-Order Note on Category Pages"
"Pre-Order Warning in Order","Pre-Order Warning in Order"
"Message to be displayed with order information","Message to be displayed with order information"
"Pre-Order Warning in Shopping Cart","Pre-Order Warning in Shopping Cart"
"This warning is shown only when there is no enough quantity of ordered product. Here the '%1$s' is the product name and the '%2$s' is the pre-ordered product qty.","This warning is shown only when there is no enough quantity of ordered product. Here the '%1$s' is the product name and the '%2$s' is the pre-ordered product qty."
"Additional Options","Additional Options"
"Detect Complex Products Which Consist only of Pre-Order Components","Detect Complex Products Which Consist only of Pre-Order Components"
"Automatically Add Warning to Transactional Emails","Automatically Add Warning to Transactional Emails"
"Google Rich Snippets","Google Rich Snippets"
Status,Status
"Indicate that the item is available for pre-order in the Google Rich Snippets displayed right on the search result page. See more details <a target=""_blank"" href=""https://amasty.com/google-rich-snippets-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=preorder-snippets-m2"">here</a>.","Indicate that the item is available for pre-order in the Google Rich Snippets displayed right on the search result page. See more details <a target=""_blank"" href=""https://amasty.com/google-rich-snippets-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=preorder-snippets-m2"">here</a>."
"Amasty Pre Order Config","Amasty Pre Order Config"
Pre-Order,Pre-Order
